Pomerance CUDA x16halvenonsplit prototype

p = 1000000000000000000000000103
mode = x16ecoverd4probe
seed_offset = 0
seed_mode = identity
max_trials = 100000000
chunk_trials = 100000000
probe_target_depth = 24
probe_prefix_filter_depth = 8
probe_bucket_bits = 6
k = 45
backend = u96
GPU = NVIDIA RTX 6000 Ada Generation  SMs=142  blocks=1136  threads=128  claim_batch=64

  probe_trials=99969210 elapsed=75.383 rate_Mps=1.326144 target_survivors=1522 y_draws=3208267252
  probe_trials=99970174 elapsed=75.386 rate_Mps=1.326111 target_survivors=1522 y_draws=3208406033
  probe_trials=99971108 elapsed=75.389 rate_Mps=1.326076 target_survivors=1522 y_draws=3208544928
  probe_trials=99972012 elapsed=75.391 rate_Mps=1.326039 target_survivors=1522 y_draws=3208683588
  probe_trials=99972888 elapsed=75.394 rate_Mps=1.325999 target_survivors=1522 y_draws=3208822072
  probe_trials=99973736 elapsed=75.397 rate_Mps=1.325967 target_survivors=1522 y_draws=3208960505
  probe_trials=99974558 elapsed=75.399 rate_Mps=1.325932 target_survivors=1522 y_draws=3209098824
  probe_trials=99975354 elapsed=75.402 rate_Mps=1.325898 target_survivors=1522 y_draws=3209237302
  probe_trials=99976126 elapsed=75.405 rate_Mps=1.325859 target_survivors=1522 y_draws=3209375274
  probe_trials=99976874 elapsed=75.407 rate_Mps=1.325823 target_survivors=1522 y_draws=3209513786
  probe_trials=99977598 elapsed=75.410 rate_Mps=1.325782 target_survivors=1522 y_draws=3209652166
  probe_trials=99978300 elapsed=75.413 rate_Mps=1.325746 target_survivors=1522 y_draws=3209790389
  probe_trials=99978980 elapsed=75.416 rate_Mps=1.325708 target_survivors=1522 y_draws=3209928861
  probe_trials=99979638 elapsed=75.418 rate_Mps=1.325670 target_survivors=1522 y_draws=3210066643
  probe_trials=99980276 elapsed=75.421 rate_Mps=1.325633 target_survivors=1522 y_draws=3210205168
  probe_trials=99980894 elapsed=75.423 rate_Mps=1.325601 target_survivors=1522 y_draws=3210343866
  probe_trials=99981492 elapsed=75.426 rate_Mps=1.325566 target_survivors=1522 y_draws=3210482124
  probe_trials=99982072 elapsed=75.428 rate_Mps=1.325530 target_survivors=1522 y_draws=3210620401
  probe_trials=99982634 elapsed=75.431 rate_Mps=1.325492 target_survivors=1522 y_draws=3210758845
  probe_trials=99983178 elapsed=75.433 rate_Mps=1.325456 target_survivors=1522 y_draws=3210897261
  probe_trials=99983704 elapsed=75.435 rate_Mps=1.325421 target_survivors=1522 y_draws=3211035535
  probe_trials=99984214 elapsed=75.438 rate_Mps=1.325380 target_survivors=1522 y_draws=3211173494
  probe_trials=99984708 elapsed=75.441 rate_Mps=1.325343 target_survivors=1522 y_draws=3211312149
  probe_trials=99985186 elapsed=75.443 rate_Mps=1.325300 target_survivors=1522 y_draws=3211450374
  probe_trials=99985650 elapsed=75.446 rate_Mps=1.325260 target_survivors=1522 y_draws=3211588092
  probe_trials=99986100 elapsed=75.449 rate_Mps=1.325222 target_survivors=1522 y_draws=3211726526
  probe_trials=99986536 elapsed=75.451 rate_Mps=1.325185 target_survivors=1522 y_draws=3211864594
  probe_trials=99986958 elapsed=75.453 rate_Mps=1.325151 target_survivors=1522 y_draws=3212002620
  probe_trials=99987366 elapsed=75.456 rate_Mps=1.325109 target_survivors=1522 y_draws=3212140203
  probe_trials=99987762 elapsed=75.458 rate_Mps=1.325073 target_survivors=1522 y_draws=3212278836
  probe_trials=99988146 elapsed=75.461 rate_Mps=1.325035 target_survivors=1522 y_draws=3212416450
  probe_trials=99988518 elapsed=75.464 rate_Mps=1.324991 target_survivors=1522 y_draws=3212554132
  probe_trials=99988878 elapsed=75.466 rate_Mps=1.324954 target_survivors=1522 y_draws=3212692060
  probe_trials=99989226 elapsed=75.468 rate_Mps=1.324917 target_survivors=1522 y_draws=3212829633
  probe_trials=99989564 elapsed=75.471 rate_Mps=1.324879 target_survivors=1522 y_draws=3212967674
  probe_trials=99989892 elapsed=75.473 rate_Mps=1.324838 target_survivors=1522 y_draws=3213105673
  probe_trials=99990208 elapsed=75.476 rate_Mps=1.324803 target_survivors=1522 y_draws=3213243362
  probe_trials=99990514 elapsed=75.478 rate_Mps=1.324764 target_survivors=1522 y_draws=3213381615
  probe_trials=99990812 elapsed=75.480 rate_Mps=1.324727 target_survivors=1522 y_draws=3213519642
  probe_trials=99991100 elapsed=75.483 rate_Mps=1.324688 target_survivors=1522 y_draws=3213657577
  probe_trials=99991380 elapsed=75.485 rate_Mps=1.324648 target_survivors=1522 y_draws=3213795436
  probe_trials=99991650 elapsed=75.488 rate_Mps=1.324611 target_survivors=1522 y_draws=3213933366
  probe_trials=99991912 elapsed=75.490 rate_Mps=1.324578 target_survivors=1522 y_draws=3214071244
  probe_trials=99992166 elapsed=75.492 rate_Mps=1.324541 target_survivors=1522 y_draws=3214208929
  probe_trials=99992412 elapsed=75.494 rate_Mps=1.324501 target_survivors=1522 y_draws=3214347083
  probe_trials=99992650 elapsed=75.497 rate_Mps=1.324466 target_survivors=1522 y_draws=3214484704
