start_utc=2026-06-20T23:19:24Z
pod=vrpu64td6tcz7b gpu=RTX_6000_Ada rate_probe_Mps=52.646410
p=100000000000000000000000067 seed_offset=121 max_trials=550000000000 chunk_trials=1000000000
Pomerance CUDA x16halvenonsplit prototype

p = 100000000000000000000000067
seed_offset = 121
max_trials = 550000000000
chunk_trials = 1000000000
k = 44
backend = u96
GPU = NVIDIA RTX 6000 Ada Generation  SMs=142  blocks=1136  threads=128  claim_batch=1

  trials=116000000000 elapsed=2230.754 rate_Mps=52.000365 claimed=1000145408
  trials=117000000000 elapsed=2249.992 rate_Mps=52.000193 claimed=1000145408
  trials=118000000000 elapsed=2269.229 rate_Mps=52.000046 claimed=1000145408
  trials=119000000000 elapsed=2288.465 rate_Mps=51.999926 claimed=1000145408
  trials=120000000000 elapsed=2307.693 rate_Mps=51.999981 claimed=1000145408
  trials=121000000000 elapsed=2326.931 rate_Mps=51.999813 claimed=1000145408
  trials=122000000000 elapsed=2346.170 rate_Mps=51.999650 claimed=1000145408
  trials=123000000000 elapsed=2365.405 rate_Mps=51.999553 claimed=1000145408
  trials=124000000000 elapsed=2384.641 rate_Mps=51.999450 claimed=1000145408
  trials=125000000000 elapsed=2403.874 rate_Mps=51.999391 claimed=1000145408
  trials=126000000000 elapsed=2423.108 rate_Mps=51.999325 claimed=1000145408
  trials=127000000000 elapsed=2442.349 rate_Mps=51.999123 claimed=1000145408
  trials=128000000000 elapsed=2461.626 rate_Mps=51.998150 claimed=1000145408
  trials=129000000000 elapsed=2480.867 rate_Mps=51.997956 claimed=1000145408
  trials=130000000000 elapsed=2500.104 rate_Mps=51.997846 claimed=1000145408
  trials=131000000000 elapsed=2519.338 rate_Mps=51.997788 claimed=1000145408
  trials=132000000000 elapsed=2538.578 rate_Mps=51.997622 claimed=1000145408
  trials=133000000000 elapsed=2557.815 rate_Mps=51.997510 claimed=1000145408
  trials=134000000000 elapsed=2577.050 rate_Mps=51.997433 claimed=1000145408
  trials=135000000000 elapsed=2596.287 rate_Mps=51.997335 claimed=1000145408
  trials=136000000000 elapsed=2615.525 rate_Mps=51.997201 claimed=1000145408
  trials=137000000000 elapsed=2634.765 rate_Mps=51.997046 claimed=1000145408
  trials=138000000000 elapsed=2654.004 rate_Mps=51.996909 claimed=1000145408
  trials=139000000000 elapsed=2673.240 rate_Mps=51.996827 claimed=1000145408
  trials=139934458076 elapsed=2691.212 rate_Mps=51.996815 claimed=934500374

Found after 2691.21s (~139934292088 X1(16) curves)

100000000000000000000000067 78462973492772865017160395 27732450411057582323409556

Verified: PASS  (2691.21s)
exit_status=0 end_utc=2026-06-21T00:04:15Z
